Campaign_ID,Brand_Name,Influencer_Name,Influencer_Platform,Follower_Count,Post_Date,Post_Type,Likes,Comments,Shares,Views,Engagement_Rate,Product_Name,Sales_Before_Campaign,Sales_After_Campaign,Campaign_Cost,Revenue_Generated,ROI
1,Nykaa,Influencer_9,Instagram,848039,02-05-2025,Reel,22088,685,2188,163078,15.31,Watch,1575,2817,11608,25893,123.06
2,Samsung,Influencer_33,YouTube,429837,25-04-2025,Story,39035,626,1885,20816,199.59,Shoes,2329,5263,14553,43070,195.95
3,Boat,Influencer_76,TikTok,351728,12-06-2025,Reel,47942,600,3906,127627,41.09,Shoes,3477,3701,9633,15841,64.45
4,Mamaearth,Influencer_59,YouTube,152003,06-05-2025,Story,40945,1964,3303,58203,79.4,Cosmetics,1481,4451,12166,14848,22.05
5,Boat,Influencer_3,TikTok,912004,21-03-2025,Post,41028,513,640,74197,56.85,Shoes,4998,7622,4013,22932,471.44
6,Adidas,Influencer_94,YouTube,602631,15-01-2025,Reel,10616,717,4625,134002,11.91,Shoes,1572,2825,16758,40986,144.58
7,Samsung,Influencer_114,TikTok,396893,09-02-2025,Story,7235,634,3418,120819,9.34,Watch,4458,5557,3297,34362,942.22
8,Nykaa,Influencer_62,Instagram,799600,21-04-2025,Post,10033,1209,2684,91720,15.18,Smartphone,2487,3675,10811,33105,206.22
9,Nykaa,Influencer_26,TikTok,751816,10-06-2025,Video,26442,90,168,116302,22.96,Watch,4675,5838,18651,6394,-65.72
10,Adidas,Influencer_26,TikTok,241718,19-04-2025,Story,48042,1809,509,199338,25.26,Shoes,4179,6330,13160,23815,80.97
11,Adidas,Influencer_66,Instagram,688198,07-02-2025,Story,15117,1315,706,24328,70.45,Protein,3029,3469,1071,34697,3139.68
12,Boat,Influencer_19,Instagram,394371,28-04-2025,Story,47318,195,3665,192613,26.57,Cosmetics,4651,7316,3632,13247,264.73
13,Nike,Influencer_66,YouTube,583932,28-02-2025,Story,44131,264,2517,6547,716.54,Smartphone,3502,4022,3338,14145,323.76
14,Boat,Influencer_25,TikTok,107755,23-04-2025,Story,3927,1935,2712,98970,8.66,Headphones,1062,1478,18816,7452,-60.4
15,Samsung,Influencer_113,Instagram,913529,13-01-2025,Video,46153,648,2169,45010,108.8,Shoes,3223,3474,2786,33716,1110.19
16,Nykaa,Influencer_82,YouTube,187559,28-01-2025,Story,12236,945,4219,56954,30.55,Protein,4783,6587,3545,25228,611.65
17,Nykaa,Influencer_94,TikTok,648923,27-06-2025,Story,34362,625,3405,144139,26.64,Headphones,3316,4113,10006,12637,26.29
18,Adidas,Influencer_50,YouTube,748007,05-05-2025,Video,17791,766,4782,156934,14.87,Headphones,4390,7158,18396,46225,151.28
19,Mamaearth,Influencer_66,TikTok,312193,20-01-2025,Video,35051,1178,4576,54490,74.89,Shoes,3916,5736,12094,9616,-20.49
20,Boat,Influencer_21,Instagram,914983,17-04-2025,Story,23564,230,303,144354,16.69,Shoes,1684,4391,12698,42269,232.88
21,Mamaearth,Influencer_85,YouTube,554850,03-02-2025,Post,42221,348,759,43788,98.95,Cosmetics,4584,5170,12507,24256,93.94
22,Mamaearth,Influencer_63,TikTok,926309,18-03-2025,Post,38150,249,4562,87962,48.84,Shoes,3334,5300,19791,23816,20.34
23,Mamaearth,Influencer_70,YouTube,463689,26-06-2025,Post,42335,796,3841,125678,37.37,Shoes,3102,4174,11509,29245,154.11
24,Mamaearth,Influencer_2,YouTube,493414,06-02-2025,Story,41167,835,1155,61560,70.11,Headphones,3985,4680,14762,11639,-21.16
25,Nike,Influencer_19,YouTube,116357,20-04-2025,Video,26033,1016,4919,137429,23.26,Watch,4433,4727,6221,19618,215.35
26,Mamaearth,Influencer_39,Instagram,643370,11-03-2025,Post,34703,648,1548,105334,35.03,Shoes,3522,4536,3098,34592,1016.59
27,Mamaearth,Influencer_2,TikTok,515583,27-05-2025,Video,5672,207,508,24548,26.02,Smartphone,3624,5104,18857,49087,160.31
28,Mamaearth,Influencer_43,TikTok,777961,27-06-2025,Video,3371,896,1665,174178,3.41,Cosmetics,3250,5614,15893,27508,73.08
29,Nike,Influencer_113,Instagram,389326,17-05-2025,Story,20597,119,464,119393,17.74,Smartphone,2744,4082,1095,16968,1449.59
30,Boat,Influencer_42,TikTok,606098,30-01-2025,Video,12893,1970,4671,97762,19.98,Shoes,3057,5864,10842,20647,90.44
31,Samsung,Influencer_111,TikTok,62764,06-02-2025,Reel,40038,1098,3259,143235,30.99,Protein,4642,4922,9785,46663,376.88
32,Nykaa,Influencer_50,TikTok,189505,30-04-2025,Reel,43179,942,4268,8897,543.88,Shoes,4814,5761,7435,13395,80.16
33,Mamaearth,Influencer_93,YouTube,603638,03-01-2025,Video,6551,1677,1870,55642,18.15,Cosmetics,2313,3520,11163,43438,289.12
